            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
Personal Income in Australia Table 2g. Total Income Distribution (2017-18),,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 16/12/2020,,,,,,,,,,,,,,,,,,
Table 2g.5,Total Income by Local Government Area (2017-18),,,,,,,,,,,,,,,,,
,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
46860,Robe,964,52,"49,763,991","39,219","51,622",6.54,2.06,0.32,0.1,0.529,6.8,21.8,34.6,31.4,28.9,20.9,18.8
46970,Roxby Downs,"2,554",36,"244,470,247","92,398","95,721",3.87,1.59,0.41,0.22,0.357,3.4,12.2,21.9,12.1,15,17.7,55.2
47140,Salisbury,"71,582",40,"3,590,822,155","46,749","50,164",3.75,1.59,0.42,0.2,0.383,4.6,14.9,24.9,23.9,30.1,31.7,14.4
47290,Southern Mallee,"1,240",47,"72,325,478","44,407","58,327",5.56,1.83,0.33,0.12,0.536,14.3,26.9,37.3,28.4,27.2,25.2,19.3
47490,Streaky Bay,"1,265",48,"60,030,141","36,920","47,455",6.4,2.11,0.33,0.1,0.522,5.7,20,32.6,33.7,28.8,20.6,16.9
47630,Tatiara,"4,431",45,"224,716,413","44,707","50,715",4.31,1.68,0.39,0.17,0.446,5.7,18.6,29.2,26.3,30.6,27.9,15.3
47700,Tea Tree Gully,"58,379",44,"3,287,872,733","50,362","56,319",4.14,1.7,0.41,0.18,0.404,4.9,15.8,26.1,22.6,26.8,29.3,21.4
47800,The Coorong,"2,826",48,"139,660,750","40,617","49,420",4.72,1.78,0.38,0.13,0.48,6.8,20.8,32.2,29.9,30,25.8,14.2
47910,Tumby Bay,"1,454",50,"61,065,448","35,249","41,998",7.82,2.06,0.26,0.05,0.569,5.4,19,31.9,35.8,27.6,21.3,15.3
47980,Unley,"24,682",46,"2,041,297,308","57,925","82,704",5.83,1.99,0.34,0.14,0.525,10.3,26.1,37.9,23,20.7,22.2,34
48050,Victor Harbor,"7,483",54,"324,742,672","34,252","43,397",6.86,1.95,0.28,0.08,0.502,7.3,21,32.8,37.5,29.7,19.6,13.3
48130,Wakefield,"3,544",46,"184,037,347","44,829","51,929",4.74,1.77,0.37,0.13,0.458,5.9,19,30.1,27.2,28.7,26.2,18
48260,Walkerville,"4,997",48,"523,593,177","60,803","104,782",6.47,2.15,0.33,0.13,0.596,16.3,34.4,46,22.4,19.8,19.9,38
48340,Wattle Range,"6,383",48,"342,967,079","44,642","53,731",5.17,1.82,0.35,0.14,0.473,7.1,20,31.2,27.4,28.4,25.4,18.8
48410,West Torrens,"35,367",40,"2,009,646,499","48,326","56,823",4.56,1.77,0.39,0.17,0.433,6.2,18.1,28.8,24.8,26.7,27.1,21.4
